Name	UBGE	QSRH	JWXT	LBWZ	FLGU
NMIX	57	37	5	0	1
JWPH	52	27	10	6	5
KUJN	78	6	12	3	1
VYBG	33	0	61	4	2
QZXH	73	8	11	6	2
VCXM	26	44	6	21	3
OIOK	8	66	0	5	21
TMCQ	82	11	1	2	4
YWRN	65	8	22	0	5
FPRS	39	16	25	4	16
SERA	43	29	18	9	1
ZSOG	23	73	3	0	1
VNNK	93	4	0	0	3
MMFN	4	29	54	6	7
YWYR	95	1	3	0	1
FTOY	69	18	11	0	2
QMWW	73	4	6	0	17
YJNZ	30	9	52	6	3
XBIJ	0	28	17	32	23
PCFE	14	24	38	21	3
PZWO	43	54	2	0	1
PYSP	69	30	0	0	1
XWBQ	27	37	8	9	19
GHGQ	95	0	4	0	1
TQJI	26	21	12	38	3
IOTB	57	28	13	1	1
YDGH	23	76	0	0	1
SNIE	69	2	23	2	4
BAVB	62	30	6	1	1
QCHS	76	3	16	2	3
KQSV	85	8	3	3	1
AGPT	95	0	1	0	4
TGAO	83	14	2	0	1
IQQD	70	26	1	1	2
TTUB	38	61	0	0	1
PBAJ	19	4	50	14	13
WAZN	16	20	47	9	8
QONF	94	1	0	0	5
XBAF	31	13	48	5	3
PNYU	82	11	6	0	1
ZCHR	89	9	0	0	2
AFKV	48	22	16	4	10
AWMD	4	43	12	27	14
EGXQ	30	68	1	0	1
QGFW	2	38	14	2	44
RNEC	78	0	5	2	15
ZQTY	14	69	3	7	7
WPMQ	94	4	0	0	2
NKFG	22	53	6	11	8
QKMN	26	11	54	1	8
ZSRR	20	62	15	2	1
ARZK	89	6	0	4	1
IDOK	84	0	15	0	1
JEHT	32	46	6	11	5
TJQF	10	47	35	5	3
NKFO	68	27	3	0	2
HPFC	58	19	6	16	1
UJHB	47	6	22	8	17
KHRN	94	5	0	0	1
IVWL	79	8	8	2	3
LGLT	49	8	5	10	28
CRLT	22	61	4	5	8
XWEK	19	16	5	23	37
UKUT	58	35	1	2	4
SUQF	68	23	7	0	2
EKLH	44	2	31	12	11
PMOY	22	18	18	9	33
EBYC	36	24	27	3	10
MBAK	16	4	55	3	22
AYFU	76	19	4	0	1
VGDC	28	18	8	22	24
MKAQ	80	15	4	0	1
SEVJ	0	15	31	28	26
UKXH	2	50	22	9	17
CEGC	23	45	30	0	2
XNXU	2	6	32	15	45
CLBP	99	0	0	0	1
XPHX	34	58	3	4	1
YRNP	49	38	7	0	6
FPMM	23	45	16	11	5
BREP	44	48	2	3	3
LPFQ	30	5	57	0	8
BYVJ	54	33	9	1	3
WYJK	7	25	29	12	27
COWR	69	27	2	0	2
HZEX	55	41	3	0	1
SMKH	74	3	4	5	14
XWSN	49	49	0	0	2
EXNT	22	15	20	7	36
KUCO	56	38	4	1	1
DGSP	85	2	7	5	1
JOUW	15	1	47	11	26
NASR	41	4	50	2	3
DGWY	3	60	27	0	10
BTKG	27	62	3	0	8
INJR	40	27	0	12	21
FUBO	14	10	41	1	34
IEMQ	25	45	28	1	1
UTUK	63	10	1	16	10
RRIW	70	7	2	14	7
FMTG	55	8	32	4	1
FJYC	38	42	15	3	2
PQWQ	67	21	9	2	1
TKWL	78	14	2	0	6
BUKT	87	8	0	3	2
WWEH	34	62	1	2	1
XQHC	36	30	0	19	15
SUND	31	29	5	19	16
AXBP	26	1	61	10	2
LGTV	48	25	15	9	3
DWOE	36	15	34	8	7
UWAB	17	3	24	24	32
SPGL	90	6	2	1	1
UKQC	71	5	1	5	18
FTZL	88	11	0	0	1
FLVK	98	1	0	0	1
YICX	24	10	58	3	5
DRJZ	60	23	14	1	2
UUWL	4	83	7	4	2
KMGL	84	5	9	0	2
RGDK	7	17	75	0	1
WNHF	60	9	5	15	11
PFQE	92	2	2	0	4
TKMU	88	5	4	2	1
TJHJ	43	27	15	8	7
UTPN	58	13	3	4	22
HQWQ	69	22	0	3	6
XBQS	69	6	4	8	13
WLMG	95	4	0	0	1
SAKE	68	26	2	1	3
HIMG	58	0	5	1	36
HWMJ	85	12	2	0	1
OERD	84	13	0	1	2
MTXR	32	62	4	0	2
OELJ	72	26	1	0	1
ILZB	34	53	3	8	2
DVPN	16	30	31	9	14
DATV	11	41	34	4	10
EKUR	39	32	24	3	2
JVVK	90	1	1	5	3
NAON	32	13	50	1	4
PAGS	20	79	0	0	1
TPXY	0	57	21	12	10
YZDJ	53	8	19	19	1
WCIC	92	1	0	6	1
MPCJ	29	9	24	13	25
BZRH	23	14	41	20	2
NYOI	5	53	28	5	9
OGWD	65	22	11	1	1
PYLL	49	6	13	26	6
PUHO	50	9	30	7	4
KKPZ	63	25	10	1	1
XRVA	27	20	37	6	10
BDSH	73	6	9	4	8
QTTG	27	8	59	2	4
NESG	4	89	6	0	1
ANNV	30	19	28	7	16
CWNJ	49	22	27	0	2
ZFIX	95	3	1	0	1
TMMC	57	19	9	1	14
FUHF	71	17	0	4	8
EKEL	60	21	16	0	3
GNHV	60	0	37	1	2
XSCV	78	10	8	2	2
LKDR	16	62	10	4	8
DYSO	45	11	8	7	29
QKWB	18	46	18	3	15
WXHZ	50	12	22	11	5
ROZF	38	10	48	1	3
BXRQ	29	28	39	2	2
NWEK	60	27	5	7	1
WYVH	44	27	25	3	1
JZWX	23	75	1	0	1
MJAH	89	9	1	0	1
ZQLQ	5	18	8	68	1
DCIL	34	43	1	12	10
AUHH	52	1	20	15	12
BSXG	65	4	30	0	1
AJHV	4	22	62	2	10
WWTD	63	13	3	17	4
HMHC	59	25	15	0	1
EXPI	28	61	3	7	1
CJLZ	34	15	25	20	6
YCKR	27	22	47	2	2
PCYE	87	11	0	0	2
KJQE	65	17	16	0	2
NTAH	93	0	3	0	4
ZMEM	21	22	38	16	3
ZXTE	90	1	1	1	7
YBOZ	60	13	3	10	14
FKDN	27	46	19	3	5
QXFJ	70	26	0	0	4
STFT	75	17	0	2	6
QUIX	56	21	10	8	5
JSHV	15	13	42	9	21
EHOA	93	5	1	0	1
XLHW	14	33	36	8	9
GTWM	29	60	9	0	2
LPAZ	61	12	26	0	1
EWOL	15	9	33	39	4
HHAD	21	47	15	16	1
AUOK	31	7	2	19	41
KKOI	72	15	5	4	4
MTRH	82	4	4	1	9
IYFA	84	12	3	0	1
DBYV	76	14	2	0	8
VFBT	56	4	7	24	9
WLRM	90	1	1	6	2
LKBJ	90	0	4	3	3
NSFR	60	24	12	3	1
NQLP	19	50	18	2	11
TMEK	8	40	49	2	1
XDKI	51	42	0	5	2
TJFW	87	6	0	1	6
RUZG	74	14	7	4	1
VWPL	87	1	6	0	6
THUM	22	34	16	18	10
NQWV	39	44	5	2	10
JYTH	48	36	2	4	10
NONR	25	53	20	1	1
UEDP	73	17	0	2	8
KITC	68	25	2	0	5
NJBY	36	17	27	1	19
DLYR	93	4	1	1	1
SFAF	60	30	5	3	2
XNWE	94	0	3	2	1
DKEX	64	35	0	0	1
PBLI	72	9	5	10	4
XZJM	79	4	8	6	3
WJAV	38	25	3	1	33
TFNN	54	23	3	14	6
YMQN	30	13	55	1	1
GEGZ	70	5	22	2	1
XKAG	95	2	0	0	3
ZKOM	83	12	0	2	3
VQOI	56	42	0	1	1
KLPF	14	10	25	29	22
HOQD	47	47	4	0	2
ILOX	64	16	14	2	4
ZWEB	64	21	5	9	1
ZJVN	82	16	0	1	1
BZFG	11	3	79	6	1
WBAC	40	32	0	26	2
SDFH	96	1	2	0	1
FSDC	4	26	46	9	15
KTVR	27	34	14	23	2
YGFP	58	11	15	6	10
